epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4492,3.23626,5.60339,1.39705,0.00428,0.00106,0.00223,0.0009,3.20273,4.96777,1.16997,5.16579e-05,5.16579e-05,5.16579e-05
2,87.3505,3.22458,4.84651,1.1826,0.00411,0.00193,0.0024,0.0009,3.19296,3.83292,1.13997,9.33958e-05,9.33958e-05,9.33958e-05
3,130.58,3.22895,4.30573,1.16263,0.00564,0.00355,0.00341,0.00133,3.13697,3.597,1.12537,0.000124838,0.000124838,0.000124838
4,171.861,3.17617,3.90802,1.13853,0.00655,0.00521,0.00443,0.00202,3.089,3.13574,1.11203,0.000109668,0.000109668,0.000109668
5,215.943,3.17615,3.63671,1.12653,0.00708,0.00504,0.00477,0.00218,3.06774,2.72534,1.10485,9.4224e-05,9.4224e-05,9.4224e-05
6,258.178,3.21627,3.43896,1.11551,0.00719,0.00506,0.00488,0.00221,3.16321,2.79775,1.10313,7.878e-05,7.878e-05,7.878e-05
7,299.957,3.1468,3.33815,1.12047,0.0064,0.00471,0.00444,0.00186,3.02494,2.85926,1.10745,6.3336e-05,6.3336e-05,6.3336e-05
8,341.53,3.12392,3.21598,1.11584,0.0067,0.00525,0.00478,0.00202,3.02242,2.75548,1.09992,4.7892e-05,4.7892e-05,4.7892e-05
9,383.198,3.10564,3.18404,1.11018,0.00692,0.00574,0.00537,0.00228,3.03299,2.74537,1.09307,3.2448e-05,3.2448e-05,3.2448e-05
10,425.047,3.10469,3.17329,1.10996,0.00702,0.00602,0.00552,0.00234,3.03651,2.71078,1.09622,1.7004e-05,1.7004e-05,1.7004e-05
