epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7087,2.97668,1.99572,1.05604,0.31274,0.00887,0.0151,0.00751,2.82404,1.7806,1.06225,5.16579e-05,5.16579e-05,5.16579e-05
2,90.0413,3.01373,2.02247,1.05435,0.2604,0.0097,0.01459,0.00688,2.82813,1.78138,1.05548,0.000100237,0.000100237,0.000100237
3,134.07,2.97231,2.0085,1.06161,0.32727,0.0096,0.01313,0.0056,2.84302,1.78541,1.06126,0.000145384,0.000145384,0.000145384
4,177.883,2.96425,1.91396,1.06181,0.01151,0.01469,0.01439,0.00714,2.94207,1.82214,1.06253,0.000140556,0.000140556,0.000140556
5,221.812,2.98377,1.93944,1.05657,0.23772,0.01002,0.01497,0.00724,2.80364,1.79563,1.06522,0.000135408,0.000135408,0.000135408
6,264.865,2.89418,1.8947,1.06106,0.2275,0.01126,0.01382,0.00638,2.82693,1.84281,1.06689,0.00013026,0.00013026,0.00013026
7,308.576,2.98686,1.95148,1.06052,0.17681,0.01109,0.01359,0.00632,2.84394,1.84902,1.06375,0.000125112,0.000125112,0.000125112
8,351.519,2.87797,1.89546,1.05299,0.17761,0.01204,0.014,0.0069,2.79238,1.75909,1.06201,0.000119964,0.000119964,0.000119964
9,394.711,2.9057,1.90043,1.05887,0.19707,0.01346,0.01517,0.00722,2.75992,1.69562,1.05378,0.000114816,0.000114816,0.000114816
10,437.609,2.88252,1.84868,1.05662,0.23529,0.01209,0.01362,0.00655,2.7558,1.72189,1.06278,0.000109668,0.000109668,0.000109668
11,481.085,2.88443,1.84533,1.05392,0.20472,0.01437,0.01601,0.00804,2.74587,1.72013,1.05832,0.00010452,0.00010452,0.00010452
12,523.334,2.86513,1.84428,1.05757,0.21799,0.01591,0.01439,0.00677,2.74307,1.73858,1.06734,9.9372e-05,9.9372e-05,9.9372e-05
13,566.406,2.87441,1.79854,1.05163,0.21203,0.01512,0.01361,0.00647,2.76616,1.76112,1.05103,9.4224e-05,9.4224e-05,9.4224e-05
14,609.746,2.87303,1.80202,1.04999,0.1783,0.01659,0.01659,0.00724,2.75793,1.73274,1.05684,8.9076e-05,8.9076e-05,8.9076e-05
15,652.941,2.82269,1.77294,1.05638,0.16398,0.01596,0.01524,0.00764,2.74776,1.70154,1.05376,8.3928e-05,8.3928e-05,8.3928e-05
16,695.577,2.82324,1.76286,1.05194,0.19865,0.01738,0.01712,0.00832,2.75022,1.65656,1.05124,7.878e-05,7.878e-05,7.878e-05
17,738.931,2.85481,1.76099,1.04188,0.17966,0.01441,0.01418,0.00681,2.71711,1.64042,1.05371,7.3632e-05,7.3632e-05,7.3632e-05
18,782.564,2.87433,1.8949,1.05142,0.18312,0.01541,0.01459,0.00686,2.72466,1.70682,1.05944,6.8484e-05,6.8484e-05,6.8484e-05
19,825.548,2.81628,1.77653,1.05052,0.19755,0.01483,0.01407,0.00681,2.73045,1.66308,1.05664,6.3336e-05,6.3336e-05,6.3336e-05
20,868.733,2.83465,1.78063,1.04339,0.19605,0.01642,0.01556,0.00739,2.72403,1.63681,1.04804,5.8188e-05,5.8188e-05,5.8188e-05
21,913.164,2.78256,2.09408,1.05658,0.19824,0.01573,0.01511,0.00767,2.73085,1.66688,1.04974,5.304e-05,5.304e-05,5.304e-05
22,954.996,2.78951,1.95569,1.06049,0.19672,0.0144,0.01465,0.00808,2.69019,1.63402,1.05982,4.7892e-05,4.7892e-05,4.7892e-05
23,996.727,2.79367,1.91095,1.05788,0.16,0.01513,0.01438,0.0072,2.70604,1.62838,1.04956,4.2744e-05,4.2744e-05,4.2744e-05
24,1039.05,2.77302,1.90298,1.06434,0.21901,0.01117,0.01424,0.00681,2.69151,1.64414,1.05184,3.7596e-05,3.7596e-05,3.7596e-05
25,1080.58,2.77307,1.97815,1.05853,0.21616,0.0115,0.01426,0.00674,2.69852,1.66143,1.05008,3.2448e-05,3.2448e-05,3.2448e-05
26,1122.03,2.72742,2.11659,1.05514,0.16611,0.01534,0.01511,0.00737,2.72052,1.63011,1.04898,2.73e-05,2.73e-05,2.73e-05
27,1164.08,2.76975,2.0377,1.06666,0.16126,0.01683,0.01589,0.00736,2.69849,1.65706,1.04955,2.2152e-05,2.2152e-05,2.2152e-05
28,1205.93,2.75636,1.92352,1.05533,0.16368,0.01709,0.01569,0.00752,2.70531,1.63412,1.05251,1.7004e-05,1.7004e-05,1.7004e-05
29,1247.3,2.76559,2.02628,1.05492,0.1668,0.01691,0.01601,0.00756,2.70731,1.65163,1.05024,1.1856e-05,1.1856e-05,1.1856e-05
30,1288.88,2.69255,1.91479,1.05886,0.16532,0.01684,0.01567,0.00767,2.67921,1.63014,1.05208,6.708e-06,6.708e-06,6.708e-06
